ids,lon,lat,kind,location,name,ateco,size,age
86211,16.87241769,41.12201448,U,Bari, GOLDEN LADY COMPANY SOCIETA PER AZIONI,14,grande,over20y
510137,16.9281,40.8194,S,Bari, VEBAD S.P.A.,23,media,over20y
554260,16.52127012,40.82318454,U,Bari, NATUZZI S.P.A.,31,grande,over20y
96001,16.7794229,41.08881527,U,Bari, LUIGI LAVAZZA - SOCIETA PER AZIONI ABBREVIABILE ANCHE NELLA SIGLA: LAVAZZA S.P.A.,10,grande,over20y
51805,16.8704479,41.1228547,U,Bari, MARINA RINALDI S.R.L.,14,grande,over20y
630584,16.55328952,41.20786474,U,Bari,HARMONT & BLAINE JEANS HARMONT & BLAINE S.P.A.,14,grande,over20y
3279959,16.44696,40.82673,S,Bari, FORM DESIGN SOCIETA A RESPONSABILITA LIMITATA,31,media,10y-20y
240661,17.11418,40.84812,S,Bari, A. DE ROBERTIS & FIGLI S.P.A.,17,media,over20y
41867,16.82555154,41.09270958,U,Bari, VINCENZO ZUCCHI - SOCIETA PER AZIONI,13,grande,over20y
10037446,16.77562858,41.10637335,U,Bari, TOORA CASTING SPA,24,media,5y-10y
91759,16.78670823,41.09915733,S,Bari, BRIDGESTONE ITALIA MANUFACTURING S.P.A.,22,grande,over20y
1122853,16.94783835,40.87948149,S,Bari, PASTIFICIO DI BARI TARALLORO S.R.L.,10,media,over20y
582358,17.09859,40.8159,U,Bari, AGRICOLA TRE VALLI - SOCIETA COOPERATIVA,10,grande,over20y
258373,16.77785519,41.08768145,U,Bari, MICROSPORE SOCIETA PER AZIONI,20,media,over20y
123850,16.85166688,41.12570461,U,Bari, GUNNEBO ITALIA S.P.A.,25,media,over20y
6426302,17.30323298,40.93966337,U,Bari, MER MEC S.P.A.,30,grande,5y-10y
423312,16.56407,40.82635,S,Bari, GRUPPO INDUSTRIALE STYLING MECCANISMI BREVETTATI PER SALOTTI E MATERASSI SOCIETA A RESPONSABILITA LIMITATA IN SIGLA GRUPPO INDUSTRIALE STYLING MECCANISMI BREVETTATI PER SALOTTI E MATERASSI S.R.L.,31,media,over20y
5171653,16.42063558,41.27589555,S,Bari, FIGLI DI GIOVANNI GIANNELLI S.R.L.,10,media,over20y
199260,17.12062,40.85253,U,Bari, FRATELLI TOTARO MAGLIFICIO MAFRAT S.P.A IN SIGLA MAFRAT S.P.A .,14,media,over20y
252645,16.85218651,41.10788787,S,Bari, CASEIFICIO FRATELLI CAPURSO S.P.A.,10,media,over20y
708980,16.9280637,41.09767032,U,Bari, BTICINO S.P.A.,27,grande,over20y
564204,16.61456949,41.08879445,U,Bari, COLABETON S.P.A.,23,grande,over20y
1951067,16.54972071,40.82700706,S,Bari, BAWER S.P.A.,29,media,10y-20y
129710,16.78116783,41.09668569,U,Bari, SEDIT S.R.L. SERVIZI EDITORIALI,18,media,over20y
2804585,16.8076424,41.11493878,U,Bari, AIR LIQUIDE SANITA SERVICE SPA,26,media,10y-20y
436269,16.51903218,40.82396074,S,Bari, COMODO ITALIA S.R.L.,31,media,over20y
9505080,16.44948812,40.82461039,S,Bari, MOLINO ANDRIANI S.R.L.,10,media,5y-10y
618783,16.52399564,40.82523867,S,Bari, GIELLE DI GALANTUCCI LUIGI,28,media,over20y
2956322,16.75155495,40.78223139,U,Bari, GRUPPO INDUSTRIALE DELTA SALOTTI S.R.L. IN SIGLA G.I.D.S. S.R.L.,31,media,10y-20y
6426302,17.30234572,40.94430909,S,Bari, MER MEC S.P.A.,30,grande,5y-10y
6458969,16.689471,41.108147,S,Bari, SISTEMA IMPRESA S.R.L.,25,media,5y-10y
129710,16.775344,41.099259,S,Bari, SEDIT S.R.L. SERVIZI EDITORIALI,18,media,over20y
600827,16.61456949,41.08879445,S,Bari, OLEARIA DESANTIS S.P.A.,10,media,over20y
435583,16.88555626,41.10698798,S,Bari, SOCIETA PER AZIONI INDUSTRIE CAFFE IN SIGLA SAICAF S.P.A.,10,media,over20y
215402,16.5210655,40.73753305,S,Bari, QUATTROESSE SALOTTI S.R.L.,31,media,over20y
9096219,16.92376589,40.96037677,U,Bari,LUISA VIOLA DIANA GALLESI MIROGLIO FASHION S.R.L.,14,grande,5y-10y
516677,16.40952189,41.14674617,U,Bari, TANDOI FILIPPO E ADALBERTO FRATELLI SOCIETA PER AZIONI IN FORMA ABBREVIATA TANDOI F. E A. F.LLI S.P.A. OVVERO TANDOI F.LLI SPA,10,media,over20y
1021836,16.87499235,41.09181205,U,Bari, ERCOS S.P.A.,25,media,over20y
2799315,16.5914441,41.20227869,S,Bari, MOLSENI IMPIANTI S.R.L.,30,media,10y-20y
75383,16.83893684,41.09822392,U,Bari, SCHINDLER - SOCIETA PER AZIONI,28,grande,over20y
